sub_ms_class,frontge_lot,area_lot,shape_lot,slopeland,style_house,ovl_quality,ovl_condition,year_constructed,year_remod,masvnrarea,exterqual,extercond,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heatingqc,centralair,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplacequ,garagetype,garagefinish,garagecars,garagequal,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,miscval,mosold,yrsold,zoning_ms_FV,zoning_ms_RH,zoning_ms_RL,zoning_ms_RM,streetname_Pave,contour_land_HLS,contour_land_Low,contour_land_Lvl,util_NoSeWa,configlot_CulDSac,configlot_FR2,configlot_FR3,configlot_Inside,electrical_FuseF,electrical_FuseP,electrical_Mix,electrical_SBrkr,type_building_2fmCon,type_building_Duplex,type_building_Twnhs,type_building_TwnhsE,saleprice
60,83.0,10005,0,1,4,7,5,1977,1977,299.0,2,2,2,1,4,3,392,6,0,768,1160,0,1,1156,866,0,2022,0,0,2,1,4,1,2,8,0,3,2,1,2,3,0,288,117,0,0,0,0,0,3,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,192000
20,63.0,10712,0,1,1,5,5,1991,1992,0.0,2,2,2,1,3,3,212,6,0,762,974,2,1,974,0,0,974,0,0,1,0,3,1,2,5,0,0,7,4,0,6,0,0,28,0,0,0,0,0,9,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,93500
20,70.06040268456375,9830,1,1,1,5,7,1959,2006,0.0,2,1,3,1,4,2,72,4,258,733,1063,0,1,1287,0,0,1287,1,0,1,0,3,1,1,7,0,4,6,1,2,3,0,364,17,0,0,182,0,0,3,2010,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,162000
60,65.0,8125,0,1,4,7,5,2005,2006,0.0,1,2,2,1,4,6,0,6,0,756,756,0,1,756,797,0,1553,0,0,2,1,3,1,1,6,0,0,2,2,2,3,0,0,45,0,0,0,0,0,3,2006,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,186500
20,75.0,10215,0,1,1,4,5,1954,1954,132.0,2,2,3,1,4,2,492,6,0,372,864,0,1,948,0,0,948,0,0,1,0,3,1,2,5,0,0,2,3,1,3,0,0,0,0,0,0,0,0,2,2007,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,111000
20,98.0,16033,1,1,1,9,5,2004,2005,378.0,1,2,1,1,1,1,1261,6,0,572,1833,0,1,1850,0,0,1850,1,0,2,0,3,1,1,8,0,4,2,1,3,3,0,519,112,0,0,0,0,0,3,2006,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,326000
20,75.0,9937,0,1,1,5,7,1964,1999,0.0,2,1,3,1,4,3,637,6,0,849,1486,0,1,1486,0,0,1486,1,0,1,0,3,1,2,7,0,0,6,1,2,3,0,0,0,0,0,0,0,0,3,2009,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,167000
60,80.0,9938,0,1,4,7,5,1993,1994,246.0,1,2,2,1,4,1,750,6,0,300,1050,0,1,1062,887,0,1949,1,0,2,1,3,1,1,8,0,3,2,1,2,3,0,156,90,0,0,0,0,0,6,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,236000
120,59.0,8198,0,1,1,7,5,2004,2004,146.0,1,2,2,1,2,1,720,6,0,638,1358,0,1,1358,0,0,1358,1,0,2,0,2,1,1,6,0,4,2,2,2,3,0,192,30,0,0,0,0,0,7,2008,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,207000
60,70.06040268456375,11050,0,1,4,9,5,2000,2000,204.0,1,2,1,1,3,1,904,6,0,536,1440,0,1,1476,677,0,2153,1,0,2,1,3,1,0,8,0,5,2,1,3,3,0,253,142,0,0,0,0,0,5,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,313000
60,75.0,9750,0,1,4,7,6,1998,1998,0.0,2,2,2,1,2,1,975,6,0,133,1108,0,1,1108,989,0,2097,1,0,2,1,3,1,1,8,0,3,6,2,2,3,0,253,170,0,0,0,0,0,6,2006,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,274300
20,60.0,7200,0,1,1,5,8,1950,2002,0.0,2,2,3,1,4,2,398,3,149,317,864,1,1,864,0,0,864,1,0,1,0,3,1,1,5,0,0,6,2,2,3,0,194,0,0,0,0,0,0,7,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,129000
60,100.0,10839,1,1,4,6,5,1997,1998,0.0,2,2,2,1,4,6,0,6,0,926,926,0,1,926,678,0,1604,0,0,2,1,3,1,2,7,0,3,2,1,2,3,0,0,36,0,0,0,0,0,7,2008,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,181000
20,70.0,8176,0,1,1,5,6,1958,1992,0.0,2,2,3,1,4,4,846,6,0,210,1056,3,1,1056,0,0,1056,1,0,1,0,3,1,2,6,0,0,2,2,1,3,0,0,0,0,0,0,0,0,8,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,139000
85,80.0,8800,0,1,8,6,7,1963,1963,156.0,2,1,3,1,1,1,763,6,0,173,936,0,1,1054,0,0,1054,1,0,1,0,3,1,1,6,0,0,2,2,2,3,0,120,0,0,0,0,0,0,5,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,137500
20,87.0,11029,1,1,1,6,8,1958,2002,0.0,0,2,2,1,4,2,528,3,411,245,1184,0,1,1414,0,0,1414,1,0,1,0,3,1,2,6,1,3,2,3,2,3,0,0,51,0,0,190,0,0,5,2008,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,176500
60,62.0,7415,1,1,4,6,5,2004,2004,0.0,2,2,3,1,4,1,759,6,0,80,839,0,1,864,729,0,1593,1,0,2,1,3,1,2,8,0,3,2,1,2,3,0,100,75,0,0,0,0,0,4,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,193000
20,85.0,11900,0,1,1,7,5,1977,1977,209.0,2,1,3,1,4,2,822,6,0,564,1386,2,1,1411,0,0,1411,0,0,2,0,3,1,2,6,0,3,2,1,2,3,0,192,0,0,0,0,0,0,4,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,82500
60,80.0,11316,0,1,4,7,5,2002,2003,44.0,1,2,2,1,4,1,624,6,0,193,817,0,1,824,1070,0,1894,1,0,2,1,4,1,1,8,0,4,4,1,2,3,0,0,40,0,0,0,0,0,2,2010,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,214900
20,85.0,14331,0,1,1,8,5,2002,2002,630.0,1,2,1,1,1,1,1274,6,0,526,1800,0,1,1800,0,0,1800,1,0,2,0,3,1,1,7,0,4,2,1,3,3,0,270,78,0,0,0,0,0,5,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,312500
50,80.0,17120,0,1,3,4,4,1959,1959,0.0,2,2,5,5,5,7,0,7,0,0,0,2,1,1120,468,0,1588,0,0,2,0,4,1,2,7,2,4,6,1,2,3,2,0,59,0,0,0,0,0,7,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,134432
30,56.0,4060,0,1,1,5,8,1922,1950,0.0,2,2,4,1,4,6,0,6,0,864,864,0,1,864,0,0,864,0,0,1,0,2,1,2,4,0,0,7,4,0,6,0,0,96,0,0,0,0,0,7,2009,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,99900
60,94.0,13005,1,1,4,7,7,1980,1980,278.0,1,2,2,1,4,1,692,6,0,153,845,2,1,1153,1200,0,2353,1,0,2,1,4,1,0,10,0,3,2,2,2,3,0,288,195,0,0,0,0,0,8,2009,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,260000
20,60.0,8430,0,2,1,5,5,1978,1978,136.0,2,2,2,1,4,4,616,6,0,424,1040,2,1,1040,0,0,1040,0,0,2,0,3,1,2,5,0,0,7,4,0,6,0,0,0,0,0,0,0,0,8,2009,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,124000
160,24.0,2280,0,1,4,6,6,1976,1976,0.0,2,2,2,1,4,2,566,6,0,289,855,2,1,855,601,0,1456,0,0,2,1,3,1,2,7,0,3,2,3,2,3,0,87,0,0,0,0,0,0,7,2009,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,148500
20,70.06040268456375,9819,1,1,1,5,5,1967,1967,31.0,2,1,3,1,4,3,450,6,0,432,882,2,1,900,0,0,900,0,0,1,0,3,1,2,5,0,0,6,3,1,3,0,0,0,0,0,0,0,0,2,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,122000
120,39.0,5389,1,1,1,8,5,1995,1996,0.0,1,2,2,1,4,1,1180,6,0,415,1595,0,1,1616,0,0,1616,1,0,2,0,2,1,1,5,0,3,2,2,2,3,0,237,152,0,0,0,0,0,3,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,236500
190,60.0,7200,0,1,5,6,6,1910,1998,0.0,2,2,3,3,3,4,1046,6,0,168,1214,0,0,1260,1031,0,2291,0,1,2,0,4,2,2,9,0,4,6,3,2,3,0,0,0,0,0,99,0,0,11,2007,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,133900
80,88.0,8471,1,1,7,6,7,1977,1995,46.0,2,2,2,1,2,2,506,6,0,0,506,2,1,1212,0,0,1212,1,0,1,0,3,1,2,6,0,3,2,3,2,3,0,292,12,0,0,0,0,0,7,2006,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,151000
85,68.0,7838,0,1,8,5,5,1967,1967,0.0,2,2,3,1,2,2,769,6,0,95,864,2,1,900,0,0,900,1,0,1,0,3,1,2,6,0,1,2,2,1,3,0,175,144,0,0,0,0,0,12,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,123000
90,60.0,8544,0,1,1,3,4,1950,1950,0.0,2,2,5,5,5,7,0,7,0,0,0,3,0,1040,0,0,1040,0,0,2,0,2,2,2,6,0,0,6,3,2,3,0,0,0,0,0,0,0,0,6,2009,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,92900
85,70.06040268456375,9180,1,1,8,5,7,1983,1983,0.0,2,2,2,1,2,2,747,5,93,0,840,1,1,884,0,0,884,1,0,1,0,2,1,1,5,0,0,2,2,2,3,0,240,0,0,0,0,0,0,12,2007,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,144000
20,74.0,8536,0,1,1,5,5,2006,2007,0.0,2,2,2,1,4,6,0,6,0,1125,1125,1,1,1125,0,0,1125,0,0,1,1,2,1,2,5,0,0,2,3,2,3,0,80,64,0,0,0,0,0,4,2007,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,155000
20,73.0,11883,0,1,1,7,5,1996,1996,196.0,1,2,2,1,1,1,690,6,0,814,1504,0,1,1504,0,0,1504,1,0,2,0,3,1,1,6,0,3,2,1,2,3,0,115,66,0,0,0,0,0,6,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,203000
20,70.0,8400,0,1,1,6,3,1957,1957,0.0,2,2,3,1,4,2,189,4,661,628,1478,1,1,1478,0,0,1478,1,0,1,1,3,1,2,6,0,4,2,2,2,3,0,114,0,0,0,216,0,0,6,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,156500
190,68.0,10880,0,1,1,5,5,1950,1950,0.0,2,2,3,1,4,2,1040,6,0,124,1164,2,0,1164,0,0,1164,1,0,1,0,3,1,2,5,0,0,6,3,1,3,0,0,48,0,0,0,0,0,8,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,125000
20,78.0,10206,0,1,1,8,5,2007,2007,468.0,2,2,2,1,4,1,33,6,0,1530,1563,0,1,1563,0,0,1563,0,0,2,0,3,1,1,6,0,4,2,2,3,3,0,144,99,0,0,0,0,0,10,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,245000
60,92.0,11764,1,1,4,8,7,1999,2007,348.0,1,2,2,1,4,1,524,6,0,628,1152,0,1,1164,1106,0,2270,0,0,2,1,4,1,1,9,0,4,2,1,3,3,0,132,57,0,0,0,0,0,4,2010,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,290000
190,60.0,9873,0,1,1,4,5,1970,1970,160.0,2,2,3,1,2,2,789,6,0,171,960,2,0,960,0,0,960,1,0,1,0,3,1,2,6,0,0,6,3,2,3,0,0,288,0,0,0,0,0,5,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,129000
190,60.0,12180,0,1,3,4,4,1941,1950,0.0,2,3,2,1,4,3,348,6,0,324,672,3,0,672,252,0,924,1,0,1,0,2,1,3,5,0,0,6,3,1,3,0,0,0,0,0,0,0,0,7,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,80000
20,75.0,9742,0,1,1,8,5,2002,2002,281.0,1,2,2,1,4,6,0,6,0,1777,1777,0,1,1795,0,0,1795,0,0,2,0,3,1,1,7,0,4,2,2,2,3,0,171,159,0,0,0,0,0,9,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,230000
20,75.0,9937,0,1,1,5,6,1965,1965,0.0,1,2,3,1,4,3,830,5,290,136,1256,1,1,1256,0,0,1256,1,0,1,1,3,1,2,6,0,0,2,1,1,3,0,736,68,0,0,0,0,0,6,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,147500
20,68.0,8814,0,1,1,7,5,2005,2007,80.0,1,2,2,1,4,1,925,6,0,349,1274,0,1,1274,0,0,1274,1,0,2,0,3,1,1,6,0,0,2,2,2,3,0,264,98,0,0,0,0,0,1,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,203000
60,85.0,13600,0,1,4,7,6,1965,1990,176.0,2,2,3,1,4,3,454,6,0,314,768,2,1,1186,800,0,1986,0,0,2,1,3,1,2,7,0,2,2,3,2,3,0,0,42,0,0,189,0,0,10,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,205000
90,82.0,6270,0,1,4,5,6,1949,1950,0.0,2,2,3,1,4,3,284,6,0,717,1001,2,0,1001,1001,0,2002,0,0,2,0,4,2,2,8,0,0,1,3,3,3,0,0,0,0,0,0,0,0,8,2007,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,145000
60,70.06040268456375,12227,1,1,4,6,7,1977,1995,424.0,2,1,2,1,4,2,896,6,0,434,1330,2,1,1542,1330,0,2872,1,0,2,1,4,1,2,11,0,3,2,1,2,3,0,550,282,0,0,0,0,0,7,2008,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,272000
20,110.0,14442,0,1,1,6,7,1957,2004,106.0,2,2,3,1,4,1,1186,6,0,291,1477,0,1,1839,0,0,1839,1,0,2,0,3,1,1,7,0,3,2,1,2,3,0,0,87,0,0,200,0,0,6,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,257500
20,70.0,7763,0,1,1,5,7,1962,1980,0.0,2,1,3,1,4,4,504,3,108,319,931,2,1,1283,0,0,1283,1,0,1,0,3,1,2,6,0,0,6,3,2,3,0,0,0,0,0,0,0,0,10,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,140000
20,78.0,10140,0,1,1,5,6,1975,1975,0.0,2,2,2,1,4,2,788,6,0,268,1056,0,1,1074,0,0,1074,1,0,1,1,3,1,2,6,0,0,2,2,2,3,0,0,88,0,0,0,0,0,7,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,153500
190,69.0,9142,0,1,4,6,8,1910,1950,0.0,2,3,4,1,4,6,0,6,0,1020,1020,1,0,908,1020,0,1928,0,0,2,0,4,2,3,9,0,0,6,3,1,5,0,0,60,112,0,0,0,0,4,2006,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,137000
20,91.0,14303,1,1,1,8,5,1994,1994,554.0,1,2,2,1,1,1,1314,6,0,672,1986,0,1,1987,0,0,1987,1,0,2,0,2,1,1,7,0,3,2,1,2,3,0,262,36,0,0,0,0,0,8,2008,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,301500
30,60.0,7200,0,1,1,5,7,1940,1992,294.0,2,1,3,1,4,3,510,6,0,278,788,2,1,804,0,0,804,1,0,1,0,2,1,1,4,0,4,2,3,1,3,0,0,0,154,0,0,0,0,2,2010,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,119000
60,75.0,9375,0,1,4,7,5,2003,2004,0.0,1,2,2,1,4,6,0,6,0,912,912,0,1,912,1182,0,2094,0,0,2,1,4,1,1,8,0,4,4,1,2,3,0,182,182,0,0,0,0,0,11,2009,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,263000
80,70.06040268456375,10784,1,1,7,7,5,1991,1992,76.0,1,2,2,1,4,6,0,6,0,384,384,1,1,802,670,0,1472,0,0,2,1,3,1,1,7,0,3,2,2,2,3,0,164,0,0,0,0,0,0,5,2007,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,160000
120,44.0,6371,1,1,1,7,5,2009,2010,128.0,1,2,2,1,3,1,733,6,0,625,1358,0,1,1358,0,0,1358,1,0,2,0,2,1,1,6,0,4,2,2,2,3,0,192,35,0,0,0,0,0,6,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,224000
50,86.0,11500,1,1,3,7,7,1936,1987,0.0,1,2,2,1,4,4,223,6,0,794,1017,1,1,1020,1037,0,2057,0,0,1,1,3,1,1,6,0,4,2,1,1,4,0,0,0,0,0,322,0,0,6,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,250000
120,55.0,7892,0,1,1,6,5,1993,1993,0.0,1,2,2,1,4,1,300,6,0,899,1199,0,1,1199,0,0,1199,0,0,2,0,2,1,1,5,0,0,2,2,2,3,0,0,63,0,0,0,0,0,3,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,153900
70,60.0,6600,0,1,4,5,4,1892,1965,0.0,2,2,3,1,4,6,0,6,0,994,994,2,0,1378,994,0,2372,0,0,2,0,4,2,2,11,2,0,2,2,1,3,0,0,287,0,0,0,0,0,12,2009,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,107500
30,50.0,8765,0,1,1,4,6,1936,1950,0.0,2,2,3,1,4,2,285,6,0,666,951,0,0,951,0,0,951,0,0,1,0,2,1,2,6,0,0,6,3,1,3,0,0,28,0,0,0,0,0,4,2006,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,106500
90,60.0,8544,0,1,1,3,4,1950,1950,0.0,2,2,5,5,5,7,0,7,0,0,0,1,0,1040,0,0,1040,0,0,2,0,2,2,2,6,0,0,6,3,2,3,0,0,0,0,0,0,0,0,7,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,93500
60,64.0,8320,0,1,4,7,5,2004,2004,0.0,1,2,2,1,4,1,490,6,0,280,770,0,1,770,812,0,1582,0,0,2,1,3,1,1,6,0,0,2,2,2,3,0,0,45,0,0,0,0,0,9,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,185900
60,59.0,11796,1,1,4,7,5,2004,2005,0.0,1,2,2,1,2,6,0,6,0,847,847,0,1,847,1112,0,1959,0,0,2,1,4,1,1,8,0,4,4,1,2,3,0,100,48,0,0,0,0,0,7,2007,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,215000
50,80.0,9600,0,1,3,6,5,1950,1950,0.0,2,2,3,1,4,3,280,6,0,752,1032,2,1,1032,220,0,1252,0,0,1,0,3,1,2,6,0,0,2,3,1,3,0,0,0,96,0,0,0,0,4,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,119000
20,50.0,8000,0,1,1,6,6,1948,2002,0.0,2,1,3,1,4,2,680,6,0,292,972,0,1,972,0,0,972,1,0,1,0,2,1,2,5,0,4,6,3,1,3,0,0,0,0,0,0,0,0,5,2009,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,132000
75,90.0,8100,0,1,5,5,5,1898,1965,0.0,2,2,3,1,4,6,0,6,0,849,849,2,0,1075,1063,0,2138,0,0,2,0,2,3,2,11,0,0,6,3,2,4,2,40,156,0,0,0,0,0,11,2009,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106000
50,50.0,7585,0,1,3,5,3,1948,1950,0.0,2,2,4,3,3,6,0,6,0,810,810,3,1,1002,454,0,1456,1,1,1,0,4,1,2,7,0,3,6,3,1,3,1,0,0,0,0,0,0,0,8,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,91500
20,68.0,8562,0,2,1,5,6,1957,2002,145.0,2,2,3,1,2,4,383,6,0,833,1216,0,1,1526,0,0,1526,0,0,1,0,4,1,2,7,2,4,3,3,1,3,0,116,78,0,0,0,0,0,5,2010,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,144500
40,40.0,5400,0,1,1,6,7,1926,2004,0.0,2,1,3,1,3,5,370,6,0,779,1149,1,1,1149,467,0,1616,0,0,2,0,3,1,1,5,0,0,6,3,1,3,0,0,0,183,0,0,0,0,10,2007,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152000
20,64.0,6762,0,1,1,7,5,2006,2006,0.0,1,2,2,1,2,6,0,6,0,1286,1286,0,1,1294,0,0,1294,0,0,2,0,2,1,1,6,0,4,2,2,2,3,0,168,55,0,0,0,0,0,7,2006,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,193879
20,77.0,8593,1,1,1,4,6,1957,1957,0.0,2,2,3,1,4,4,288,6,0,619,907,0,1,907,0,0,907,0,0,1,0,3,1,2,5,0,0,6,3,1,3,0,0,0,0,0,0,0,0,7,2008,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,109008
